Title,File,Start Page,End Page,Key,Composer
Conception,realbook_hal_6th_Eb.pdf,86,86,Eb,George Shearing
Confirmation,realbook_hal_6th_Eb.pdf,87,87,Eb,Charlie Parker
Contemplation,realbook_hal_6th_Eb.pdf,88,88,Eb,McCoy Tyner
Coral,realbook_hal_6th_Eb.pdf,89,89,Eb,Keith Jarrett
Cottontail,realbook_hal_6th_Eb.pdf,90,90,Eb,Duke Ellington
Could It Be You,realbook_hal_6th_Eb.pdf,91,91,Eb,Cole Porter
Countdown,realbook_hal_6th_Eb.pdf,92,92,Eb,John Coltrane
Crescent,realbook_hal_6th_Eb.pdf,93,93,Eb,John Coltrane
Crystal Silence,realbook_hal_6th_Eb.pdf,94,94,Eb,Chick Corea
D Natural Blues,realbook_hal_6th_Eb.pdf,95,95,Eb,Wes Montgomery
Daahoud,realbook_hal_6th_Eb.pdf,96,97,Eb,Clifford Brown
Dancing On The Ceiling,realbook_hal_6th_Eb.pdf,98,98,Eb,Richard Rodgers/Lorenz Hart
Darn That Dream,realbook_hal_6th_Eb.pdf,99,99,Eb,Jimmy Van Heusen/Eddie De Lange
Day Waves,realbook_hal_6th_Eb.pdf,100,100,Eb,Chick Corea/Neville Potter
Days And Nights Waiting,realbook_hal_6th_Eb.pdf,101,101,Eb,Keith Jarrett
Dear Old Stockholm,realbook_hal_6th_Eb.pdf,102,102,Eb,Yarmeland
Dearly Beloved,realbook_hal_6th_Eb.pdf,103,103,Eb,Jerome Kern/Johnny Mercer
Dedicated To You,realbook_hal_6th_Eb.pdf,104,104,Eb,Sammy Cahn/Saul Chaplin/Hy Zaret
Detour Ahead,realbook_hal_6th_Eb.pdf,105,105,Eb,Herb Ellis/John Fried/Lou Carter
Deluge,realbook_hal_6th_Eb.pdf,106,107,Eb,Wayne Shorter
Desafinado,realbook_hal_6th_Eb.pdf,108,109,Eb,Antonio Carlos Jobim/Newton Mendonca
Desert Air,realbook_hal_6th_Eb.pdf,110,111,Eb,Chick Corea
Dexterity,realbook_hal_6th_Eb.pdf,112,112,Eb,Charlie Parker
Dizzy Atmosphere,realbook_hal_6th_Eb.pdf,113,113,Eb,Dizzy Gillespie
Django,realbook_hal_6th_Eb.pdf,114,115,Eb,John Lewis
Doin' The Pig,realbook_hal_6th_Eb.pdf,116,117,Eb,Steve Swallow
Delores,realbook_hal_6th_Eb.pdf,118,118,Eb,Wayne Shorter
Dolphin Dance,realbook_hal_6th_Eb.pdf,119,119,Eb,Herbie Hancock
Domino Biscuit,realbook_hal_6th_Eb.pdf,120,120,Eb,Steve Swallow
Don't Blame Me,realbook_hal_6th_Eb.pdf,121,121,Eb,Jimmy McHugh/Dorothy Fields
Don't Get Around Much Anymore,realbook_hal_6th_Eb.pdf,122,122,Eb,Duke Ellington/Bob Russet
Donna Lee,realbook_hal_6th_Eb.pdf,123,123,Eb,Charlie Parker
Dream A Little Dream Of Me,realbook_hal_6th_Eb.pdf,124,124,Eb,Wilbur Schloandt/Fabian Andreee/Gus Kahn
Dreamsville,realbook_hal_6th_Eb.pdf,125,125,Eb,Henry Mancini/Jay Livingston/Ray Evans
Easter Parade,realbook_hal_6th_Eb.pdf,126,126,Eb,Irving Berlin
Easy Living,realbook_hal_6th_Eb.pdf,127,127,Eb,Leo Robin/Ralph Ranger
Easy To Love,realbook_hal_6th_Eb.pdf,128,128,Eb,Cole Porter
Ecclusiastics,realbook_hal_6th_Eb.pdf,129,129,Eb,Charles Mingus
Eighty One,realbook_hal_6th_Eb.pdf,130,130,Eb,Miles Davis/Ronald Carter
El Gaucho,realbook_hal_6th_Eb.pdf,131,131,Eb,Wayne Shorter
Epistrophy,realbook_hal_6th_Eb.pdf,132,132,Eb,Thelonious Monk/Kenny Clarke
Equinox,realbook_hal_6th_Eb.pdf,133,133,Eb,John Coltrane
Equipoise,realbook_hal_6th_Eb.pdf,134,134,Eb,Stanley Cowell
E.S.P.,realbook_hal_6th_Eb.pdf,135,135,Eb,Wayne Shorter
Fall,realbook_hal_6th_Eb.pdf,136,136,Eb,Wayne Shorter
Falling Grace,realbook_hal_6th_Eb.pdf,137,137,Eb,Steve Swallow
Falling In Love With Love,realbook_hal_6th_Eb.pdf,138,138,Eb,Richard Rodgers/Lorenz Hart
Fee-Fi-Fo-Fum,realbook_hal_6th_Eb.pdf,139,139,Eb,Wayne Shorter
Fine Romance,realbook_hal_6th_Eb.pdf,140,140,Eb,Jerome Kern/Dorothy Fields
500 Miles High,realbook_hal_6th_Eb.pdf,141,140,Eb,Chick Corea/Neville Potter
Five Hundred Miles High,realbook_hal_6th_Eb.pdf,141,141,Eb,Chick Corea/Neville Potter
502 Blues,realbook_hal_6th_Eb.pdf,142,142,Eb,James Rowles
Follow Your Heart,realbook_hal_6th_Eb.pdf,143,143,Eb,John McLaughlin
Footprints,realbook_hal_6th_Eb.pdf,144,144,Eb,Wayne Shorter
For All We Know,realbook_hal_6th_Eb.pdf,145,145,Eb,J. Fred Coots
For Heavens Sake,realbook_hal_6th_Eb.pdf,146,146,Eb,Don Meyer/Elise Bretton/Sherman Edwards
For Sentimental Reasons,realbook_hal_6th_Eb.pdf,147,147,Eb,William Best/Deek Watson
